city,comprehensive,fiance,credit,influence,operation,intelligence,personnel
双鸭山,18.01,3.00,3.00,3.00,3.00,3.00,3.00
景德镇,18.04,3.01,3.01,3.01,3.01,3.01,3.00
防城港,18.03,3.01,3.01,3.01,3.00,3.01,3.00
七台河,18.00,3.00,3.00,3.00,3.00,3.00,3.00
喀什,18.01,3.00,3.00,3.00,3.00,3.00,3.00
阿拉善盟,18.01,3.00,3.00,3.00,3.00,3.00,3.00
嘉峪关,18.00,3.00,3.00,3.00,3.00,3.00,3.00
日喀则,18.00,3.00,3.00,3.00,3.00,3.00,3.00
三门峡,18.02,3.00,3.00,3.01,3.00,3.01,3.00
那曲,18.00,3.00,3.00,3.00,3.00,3.00,3.00
和田,18.00,3.00,3.00,3.00,3.00,3.00,3.00
阿里,18.00,3.00,3.00,3.00,3.00,3.00,3.00
阿克苏,18.01,3.00,3.00,3.00,3.00,3.00,3.00
锡林郭勒盟,18.01,3.00,3.00,3.00,3.00,3.00,3.00
阿勒泰,18.00,3.00,3.00,3.00,3.00,3.00,3.00
巴彦淖尔,18.00,3.00,3.00,3.00,3.00,3.00,3.00
克拉玛依,18.01,3.00,3.00,3.00,3.00,3.00,3.00
乌兰察布,18.01,3.00,3.00,3.00,3.00,3.00,3.00
楚雄,18.03,3.00,3.00,3.01,3.00,3.01,3.00
甘南,18.00,3.00,3.00,3.00,3.00,3.00,3.00
昌吉,18.01,3.00,3.00,3.00,3.00,3.00,3.00
阿坝,18.02,3.00,3.00,3.00,3.00,3.00,3.00
甘孜,18.01,3.00,3.00,3.00,3.00,3.00,3.00
西双版纳,18.03,3.00,3.00,3.01,3.00,3.01,3.00
怒江,18.00,3.00,3.00,3.00,3.00,3.00,3.00
文山,18.02,3.00,3.00,3.00,3.00,3.00,3.00
迪庆,18.00,3.00,3.00,3.00,3.00,3.00,3.00
凉山,18.02,3.00,3.00,3.01,3.00,3.00,3.00
临夏,18.00,3.00,3.00,3.00,3.00,3.00,3.00
海西,18.00,3.00,3.00,3.00,3.00,3.00,3.00
海南,18.26,3.04,3.04,3.07,3.04,3.04,3.03
玉树,18.00,3.00,3.00,3.00,3.00,3.00,3.00
伊犁,18.01,3.00,3.00,3.00,3.00,3.00,3.00
红河,18.02,3.00,3.00,3.01,3.00,3.00,3.00
黔西南,18.02,3.00,3.00,3.00,3.00,3.00,3.00
黔南,18.03,3.00,3.00,3.01,3.00,3.01,3.00
黔东南,18.02,3.00,3.00,3.00,3.00,3.00,3.00
德宏,18.01,3.00,3.00,3.00,3.00,3.00,3.00
湘西,18.01,3.00,3.00,3.00,3.00,3.00,3.00
博尔塔拉,18.00,3.00,3.00,3.00,3.00,3.00,3.00
甘南,18.00,3.00,3.00,3.00,3.00,3.00,3.00
克孜勒苏,18.00,3.00,3.00,3.00,3.00,3.00,3.00
两江新区,18.00,3.00,3.00,3.00,3.00,3.00,3.00
台东,18.00,3.00,3.00,3.00,3.00,3.00,3.00
台中,18.00,3.00,3.00,3.00,3.00,3.00,3.00
台北,18.00,3.00,3.00,3.00,3.00,3.00,3.00
大兴安岭,18.01,3.00,3.00,3.00,3.00,3.00,3.00
巴音郭楞,18.01,3.00,3.00,3.00,3.00,3.00,3.00
新北,18.00,3.00,3.00,3.00,3.00,3.00,3.00
新竹,18.00,3.00,3.00,3.00,3.00,3.00,3.00
桃园,18.00,3.00,3.00,3.00,3.00,3.00,3.00
舟山新区,18.00,3.00,3.00,3.00,3.00,3.00,3.00
西咸,18.02,3.00,3.00,3.00,3.00,3.00,3.00
连江,18.00,3.00,3.00,3.00,3.00,3.00,3.00
